ペルソナ名,都道府県,市区町村,キー,人数,緯度,経度
20代層,長崎県,島原市,長崎県島原市,1,35.0,135.0
20代層,長崎県,南島原市,長崎県南島原市,1,35.0,135.0
20代層,山口県,熊毛郡平生町,山口県熊毛郡平生町,1,35.0,135.0
20代層,京都府,宮津市,京都府宮津市,3,35.0116,135.7681
20代層,青森県,三沢市,青森県三沢市,1,35.0,135.0
20代層,福井県,敦賀市,福井県敦賀市,1,35.0,135.0
20代層,栃木県,小山市,栃木県小山市,1,36.5657,139.8836
20代層,広島県,広島市安佐北区,広島県広島市安佐北区,2,35.0,135.0
20代層,広島県,安芸高田市,広島県安芸高田市,1,35.0,135.0
20代層,広島県,安芸郡府中町,広島県安芸郡府中町,1,35.0,135.0
20代層,広島県,東広島市,広島県東広島市,1,35.0,135.0
20代層,広島県,安芸郡海田町,広島県安芸郡海田町,1,35.0,135.0
20代層,宮城県,加美郡加美町,宮城県加美郡加美町,1,35.0,135.0
