node_id,prefecture,municipality,inflow,outflow,net_flow,latitude,longitude
神奈川県川崎市幸区,神奈川県,川崎市幸区,11,0,11,35.4478,139.6425
埼玉県新座市,埼玉県,新座市,11,0,11,35.8617,139.6455
神奈川県相模原市中央区,神奈川県,相模原市中央区,11,0,11,35.4478,139.6425
千葉県,千葉県,,11,0,11,35.6074,140.1233
福岡県福岡市南区,福岡県,福岡市南区,11,0,11,35.0,135.0
東京都多摩市,東京都,多摩市,11,0,11,35.6895,139.6917
大阪府大阪狭山市,大阪府,大阪狭山市,11,0,11,34.6937,135.5023
神奈川県藤沢市,神奈川県,藤沢市,17,6,11,35.4478,139.6425
埼玉県さいたま市西区,埼玉県,さいたま市西区,11,0,11,35.8617,139.6455
東京都調布市,東京都,調布市,11,0,11,35.6895,139.6917
神奈川県横須賀市,神奈川県,横須賀市,12,1,11,35.4478,139.6425
埼玉県さいたま市北区,埼玉県,さいたま市北区,11,0,11,35.8617,139.6455
神奈川県横浜市保土ケ谷区,神奈川県,横浜市保土ケ谷区,11,0,11,35.4478,139.6425
奈良県御所市,奈良県,御所市,11,0,11,34.6851,135.805
大阪府泉大津市,大阪府,泉大津市,11,0,11,34.6937,135.5023
埼玉県越谷市,埼玉県,越谷市,13,2,11,35.8617,139.6455
神奈川県横浜市西区,神奈川県,横浜市西区,12,2,10,35.4478,139.6425
愛知県名古屋市瑞穂区,愛知県,名古屋市瑞穂区,10,0,10,35.0,135.0
福岡県,福岡県,,10,0,10,35.0,135.0
東京都府中市,東京都,府中市,10,0,10,35.6895,139.6917
千葉県千葉市稲毛区,千葉県,千葉市稲毛区,10,0,10,35.6074,140.1233
福岡県福岡市博多区,福岡県,福岡市博多区,10,0,10,35.0,135.0
奈良県葛城市,奈良県,葛城市,10,0,10,34.6851,135.805
愛知県名古屋市港区,愛知県,名古屋市港区,10,0,10,35.0,135.0
埼玉県川越市,埼玉県,川越市,11,1,10,35.8617,139.6455
神奈川県横浜市旭区,神奈川県,横浜市旭区,10,0,10,35.4478,139.6425
埼玉県さいたま市南区,埼玉県,さいたま市南区,10,0,10,35.8617,139.6455
福岡県福岡市中央区,福岡県,福岡市中央区,10,0,10,35.0,135.0
岐阜県各務原市,岐阜県,各務原市,9,0,9,35.0,135.0
埼玉県和光市,埼玉県,和光市,9,0,9,35.8617,139.6455
千葉県佐倉市,千葉県,佐倉市,9,0,9,35.6074,140.1233
大阪府堺市中区,大阪府,堺市中区,26,17,9,34.6937,135.5023
埼玉県さいたま市岩槻区,埼玉県,さいたま市岩槻区,9,0,9,35.8617,139.6455
千葉県千葉市緑区,千葉県,千葉市緑区,9,0,9,35.6074,140.1233
神奈川県厚木市,神奈川県,厚木市,9,0,9,35.4478,139.6425
東京都立川市,東京都,立川市,9,0,9,35.6895,139.6917
愛知県名古屋市名東区,愛知県,名古屋市名東区,10,1,9,35.0,135.0
大阪府大阪市西淀川区,大阪府,大阪市西淀川区,55,46,9,34.6937,135.5023
広島県広島市中区,広島県,広島市中区,9,0,9,35.0,135.0
愛知県名古屋市西区,愛知県,名古屋市西区,9,0,9,35.0,135.0
神奈川県川崎市多摩区,神奈川県,川崎市多摩区,12,3,9,35.4478,139.6425
埼玉県狭山市,埼玉県,狭山市,10,1,9,35.8617,139.6455
埼玉県草加市,埼玉県,草加市,9,0,9,35.8617,139.6455
埼玉県さいたま市見沼区,埼玉県,さいたま市見沼区,9,0,9,35.8617,139.6455
奈良県生駒郡斑鳩町,奈良県,生駒郡斑鳩町,15,6,9,34.6851,135.805
埼玉県朝霞市,埼玉県,朝霞市,9,0,9,35.8617,139.6455
大阪府堺市美原区,大阪府,堺市美原区,8,0,8,34.6937,135.5023
東京都小平市,東京都,小平市,8,0,8,35.6895,139.6917
神奈川県相模原市緑区,神奈川県,相模原市緑区,8,0,8,35.4478,139.6425
神奈川県秦野市,神奈川県,秦野市,8,0,8,35.4478,139.6425
千葉県四街道市,千葉県,四街道市,8,0,8,35.6074,140.1233
千葉県千葉市若葉区,千葉県,千葉市若葉区,8,0,8,35.6074,140.1233
奈良県北葛城郡河合町,奈良県,北葛城郡河合町,8,0,8,34.6851,135.805
埼玉県久喜市,埼玉県,久喜市,8,0,8,35.8617,139.6455
千葉県浦安市,千葉県,浦安市,8,0,8,35.6074,140.1233
神奈川県川崎市高津区,神奈川県,川崎市高津区,8,0,8,35.4478,139.6425
神奈川県海老名市,神奈川県,海老名市,8,0,8,35.4478,139.6425
神奈川県川崎市麻生区,神奈川県,川崎市麻生区,8,0,8,35.4478,139.6425
神奈川県横浜市港南区,神奈川県,横浜市港南区,8,0,8,35.4478,139.6425
東京都荒川区,東京都,荒川区,11,3,8,35.6895,139.6917
茨城県つくば市,茨城県,つくば市,8,0,8,36.3418,140.4467
滋賀県蒲生郡日野町,滋賀県,蒲生郡日野町,8,0,8,35.0045,135.8686
神奈川県横浜市泉区,神奈川県,横浜市泉区,8,0,8,35.4478,139.6425
茨城県土浦市,茨城県,土浦市,8,0,8,36.3418,140.4467
埼玉県三郷市,埼玉県,三郷市,9,1,8,35.8617,139.6455
奈良県北葛城郡上牧町,奈良県,北葛城郡上牧町,8,0,8,34.6851,135.805
埼玉県蕨市,埼玉県,蕨市,8,0,8,35.8617,139.6455
三重県四日市市,三重県,四日市市,8,0,8,35.0,135.0
奈良県北葛城郡王寺町,奈良県,北葛城郡王寺町,19,11,8,34.6851,135.805
埼玉県吉川市,埼玉県,吉川市,7,0,7,35.8617,139.6455
千葉県八千代市,千葉県,八千代市,7,0,7,35.6074,140.1233
兵庫県加古川市,兵庫県,加古川市,13,6,7,34.6913,135.183
愛知県名古屋市熱田区,愛知県,名古屋市熱田区,7,0,7,35.0,135.0
愛知県名古屋市中川区,愛知県,名古屋市中川区,8,1,7,35.0,135.0
東京都国分寺市,東京都,国分寺市,7,0,7,35.6895,139.6917
東京都東久留米市,東京都,東久留米市,7,0,7,35.6895,139.6917
三重県津市,三重県,津市,9,2,7,35.0,135.0
愛知県春日井市,愛知県,春日井市,7,0,7,35.0,135.0
愛知県瀬戸市,愛知県,瀬戸市,7,0,7,35.0,135.0
千葉県市原市,千葉県,市原市,11,4,7,35.6074,140.1233
愛知県名古屋市昭和区,愛知県,名古屋市昭和区,7,0,7,35.0,135.0
神奈川県横浜市瀬谷区,神奈川県,横浜市瀬谷区,7,0,7,35.4478,139.6425
千葉県千葉市美浜区,千葉県,千葉市美浜区,7,0,7,35.6074,140.1233
滋賀県甲賀市,滋賀県,甲賀市,19,12,7,35.0045,135.8686
千葉県成田市,千葉県,成田市,7,0,7,35.6074,140.1233
埼玉県鴻巣市,埼玉県,鴻巣市,7,0,7,35.8617,139.6455
群馬県太田市,群馬県,太田市,7,0,7,36.3907,139.0604
和歌山県,和歌山県,,7,0,7,35.0,135.0
群馬県前橋市,群馬県,前橋市,7,0,7,36.3907,139.0604
埼玉県さいたま市桜区,埼玉県,さいたま市桜区,7,0,7,35.8617,139.6455
長野県長野市,長野県,長野市,7,0,7,35.0,135.0
