applicant_id,residence_pref,same_pref_count,diff_pref_count,total_desired,same_pref_ratio,mobility_score
ID_286,京都府,3,0,3,1.0,0.0
ID_287,奈良県,5,1,6,0.8333333333333334,0.16666666666666666
ID_288,京都府,1,0,1,1.0,0.0
ID_289,京都府,7,0,7,1.0,0.0
ID_290,京都府,11,3,14,0.7857142857142857,0.21428571428571427
ID_291,京都府,2,0,2,1.0,0.0
ID_292,大阪府,15,1,16,0.9375,0.0625
ID_293,京都府,3,0,3,1.0,0.0
ID_294,大阪府,1,1,2,0.5,0.5
ID_295,京都府,2,2,4,0.5,0.5
ID_296,大阪府,1,3,4,0.25,0.75
ID_297,石川県,0,5,5,0.0,1.0
ID_298,京都府,3,0,3,1.0,0.0
ID_299,滋賀県,1,4,5,0.2,0.8
ID_300,京都府,1,0,1,1.0,0.0
ID_301,京都府,1,0,1,1.0,0.0
ID_302,京都府,2,0,2,1.0,0.0
ID_303,京都府,3,2,5,0.6,0.4
ID_304,京都府,2,0,2,1.0,0.0
ID_305,京都府,3,6,9,0.3333333333333333,0.6666666666666666
ID_306,京都府,1,0,1,1.0,0.0
ID_307,京都府,1,0,1,1.0,0.0
ID_308,大阪府,10,1,11,0.9090909090909091,0.09090909090909091
ID_309,京都府,0,1,1,0.0,1.0
