prefecture,municipality,location,demand_count,supply_count,demand_supply_ratio,gap,latitude,longitude
熊本県,菊池市,熊本県菊池市,1.0,0.0,1.0,1.0,32.79,130.71
熊本県,菊池郡菊陽町,熊本県菊池郡菊陽町,1.0,0.0,1.0,1.0,32.79,130.71
熊本県,葦北郡津奈木町,熊本県葦北郡津奈木町,1.0,0.0,1.0,1.0,32.79,130.71
愛媛県,西条市,愛媛県西条市,1.0,0.0,1.0,1.0,33.84,132.77
愛知県,丹羽郡大口町,愛知県丹羽郡大口町,1.0,0.0,1.0,1.0,35.18,136.91
埼玉県,北葛飾郡杉戸町,埼玉県北葛飾郡杉戸町,1.0,0.0,1.0,1.0,35.86,139.65
埼玉県,北足立郡伊奈町,埼玉県北足立郡伊奈町,1.0,0.0,1.0,1.0,35.86,139.65
埼玉県,坂戸市,埼玉県坂戸市,1.0,0.0,1.0,1.0,35.86,139.65
埼玉県,大里郡寄居町,埼玉県大里郡寄居町,1.0,0.0,1.0,1.0,35.86,139.65
沖縄県,宮古島市,沖縄県宮古島市,1.0,0.0,1.0,1.0,26.21,127.68
沖縄県,浦添市,沖縄県浦添市,1.0,0.0,1.0,1.0,26.21,127.68
愛媛県,四国中央市,愛媛県四国中央市,1.0,0.0,1.0,1.0,33.84,132.77
愛媛県,新居浜市,愛媛県新居浜市,1.0,0.0,1.0,1.0,33.84,132.77
新潟県,三条市,新潟県三条市,1.0,0.0,1.0,1.0,37.9,139.02
新潟県,上越市,新潟県上越市,1.0,0.0,1.0,1.0,37.9,139.02
栃木県,矢板市,栃木県矢板市,1.0,0.0,1.0,1.0,36.57,139.88
栃木県,那須烏山市,栃木県那須烏山市,1.0,0.0,1.0,1.0,36.57,139.88
沖縄県,中頭郡北谷町,沖縄県中頭郡北谷町,1.0,0.0,1.0,1.0,26.21,127.68
沖縄県,国頭郡宜野座村,沖縄県国頭郡宜野座村,1.0,0.0,1.0,1.0,26.21,127.68
沖縄県,国頭郡本部町,沖縄県国頭郡本部町,1.0,0.0,1.0,1.0,26.21,127.68
北海道,札幌市清田区,北海道札幌市清田区,1.0,0.0,1.0,1.0,43.06,141.35
北海道,札幌市白石区,北海道札幌市白石区,1.0,0.0,1.0,1.0,43.06,141.35
神奈川県,三浦市,神奈川県三浦市,1.0,0.0,1.0,1.0,35.45,139.64
神奈川県,中郡大磯町,神奈川県中郡大磯町,1.0,0.0,1.0,1.0,35.45,139.64
佐賀県,嬉野市,佐賀県嬉野市,1.0,0.0,1.0,1.0,33.25,130.3
佐賀県,小城市,佐賀県小城市,1.0,0.0,1.0,1.0,33.25,130.3
佐賀県,武雄市,佐賀県武雄市,1.0,0.0,1.0,1.0,33.25,130.3
徳島県,阿南市,徳島県阿南市,1.0,0.0,1.0,1.0,34.07,134.56
北海道,千歳市,北海道千歳市,1.0,0.0,1.0,1.0,43.06,141.35
北海道,札幌市厚別区,北海道札幌市厚別区,1.0,0.0,1.0,1.0,43.06,141.35
大分県,中津市,大分県中津市,2.0,1.0,1.0,1.0,33.24,131.61
大分県,別府市,大分県別府市,1.0,0.0,1.0,1.0,33.24,131.61
大分県,速見郡日出町,大分県速見郡日出町,1.0,0.0,1.0,1.0,33.24,131.61
広島県,東広島市,広島県東広島市,1.0,0.0,1.0,1.0,34.4,132.46
徳島県,,徳島県,1.0,0.0,1.0,1.0,34.07,134.56
石川県,加賀市,石川県加賀市,3.0,2.0,1.0,1.0,36.59,136.63
石川県,小松市,石川県小松市,2.0,1.0,1.0,1.0,36.59,136.63
兵庫県,相生市,兵庫県相生市,1.0,0.0,1.0,1.0,34.69,135.18
北海道,二海郡八雲町,北海道二海郡八雲町,1.0,0.0,1.0,1.0,43.06,141.35
埼玉県,行田市,埼玉県行田市,1.0,0.0,1.0,1.0,35.86,139.65
埼玉県,比企郡小川町,埼玉県比企郡小川町,1.0,0.0,1.0,1.0,35.86,139.65
